Username,Tweet,Yearly Pay
aredridel,So to #talkpay I'm a node.js Developer for PayPal with 20 years experience (open source) in Boston. -- $160k,"$160,000.00"
nicknovitski,"#talkpay #SF developer ~4 years experience, $158k base","$158,000.00"
jina,"#talkpay Senior Product Designer at Salesforce started at $140k + benefits + RSUs, then $150k + more RSUs, now $157,500.","$157,500.00"
Suzume_Tashiro,"#TalkPay Deputy CIO, Higher Education, 20 years experience, $156K, 10K bonus, great bennies, white female","$156,000.00"
justkelly_ok,"At Goog, as of last July when I left: senior SWE, Bay Area, 8 years experience, $156k salary, roughly $100k stock, $32k bonus. #talkpay","$156,000.00"
fatneckbeardguy,"#talkpay Software engineer, USD 2015: Heroku, Senior Member of Technical Staff, $153,000 2014: AlephCloud, Principal Software Eng, $140,000","$153,000.00"
nebrius,"""Career"" jobs after college (Ph.D.) 1st job: ~$100k/yr 2nd job: $120k/yr 3rd (current): $152k/yr White cis male in tech in SF #talkpay","$152,000.00"
jefflembeck,"DM: Bay Area Gay cis WM UX Engineer (JS &amp; web), 15+ years, pub auth, $326/year: $152k sal, $27k base bonus, $126k eq, $21k ben #talkpay","$152,000.00"
SciortinoTom,#talkpay ~$150k as a software developer at Google,"$150,000.00"
IanAMaddox,"Okay, let's #talkpay: Recent Dev Manager gig: $150k Current CEO/Co-founder: $0 Soon as CEO: $75k","$150,000.00"
gnuconsulting,2014 Stark &amp; Wayne $120k; 2015 Apple $150k #talkpay,"$150,000.00"
radiomorillo,American-born Latina 2013 straight out of college: $130k + 0.2% equity late 2013: $95k + [bonus/equity] = ~$150k #talkpay #POC,"$150,000.00"
sfslim,I have earned as much as $150k/year and as little as $12k… with minimal correlation between how hard or how much I worked. #TalkPay,"$150,000.00"
joestump,"Started at $65k as entry-level engineer in 2000. $80k by ’01, then to $88k in ’04, $100k in ’05, $80k in ’06, $150k in ’07. #talkpay","$150,000.00"
daedtech,"A 5 person dev team manages itself, splits the now unnecessary $150K dev manager salary 5 ways, pocketing an extra $30K each...? #talkpay","$150,000.00"
shajra,I agree with the #talkpay talk. Here's my input: software engineering in Austin for $150k total comp. is within reason for strong talent.,"$150,000.00"
fatneckbeardguy,"#talkpay When I joined Heroku in 2014, the salary range for Sr. Member of Technical Staff was $130K-$150K...","$150,000.00"
kerrizor,"Today, 20 years of experience, Seattle-based full-time employee, I make $150k/yr before benefits #talkpay /cc @laurenvoswinkel","$150,000.00"
sdboyer,"soft eng, remote from ~$75k in 2009 to $150k now. self-employed time in the middle was complicated, but in that range #talkpay","$150,000.00"
othiym23,"#talkpay DM ""Finance company, 11yrs exp in dev, bachelors degree, CWM. $150k + $100k bonuses. $15k less than originally agreed to.""","$150,000.00"
anarchivist,#talkpay now: director of technology in lib-focused nonprofit startup. $150k. remote.,"$150,000.00"
derickbailey,"#talkpay last year, as a self-employed person doing consulting and product / services, i made $104K. this year, I hope to reach $150K","$150,000.00"
ReBeccaOrg,"#talkpay I'm a node.js programmer w/ 20 years exp, remote for a Bay area company, at $150k + options. Previously Boston area at $145k+zilch","$150,000.00"
skimbrel,looks like #talkpay is getting started early. another white-cis-male dev in SF datapoint: $148k on a Berkeley CS degree and five years exp,"$148,000.00"
DrPamMcCauley,"#TalkPay #WomeninSTEM Highest-paying STEM jobs-petroleum engineers (average mean wage) $147,520, physicists $117,300.","$147,520.00"
_achiang,"Changed jobs in 2010, still doing Linux. $95K as developer. After 4 years, as manager of team of ~8, $147K in SFO. #talkpay","$147,000.00"
allartburns,My salary has not gone up since I left the bay area for #pgh in 2005: $146K. Another reason I’m going back to self-employment. #talkpay,"$146,000.00"
GauntletWizard,"#talkpay At Facebook, $145k, plus theoretical bonuses and equity. Having just quit, not worth it.","$145,000.00"
FabulousFemmes,T: white female software engineer w a CS degree and 5 yrs experience: $145k (steadily up from $90k in 2010). NYC. #talkpay,"$145,000.00"
fatneckbeardguy,"#talkpay And when I say I got an initial offer of $145K, it was for a job where the primary programming language was one I'd never used","$145,000.00"
radiomorillo,Chicago-area woman web developer w/20 years experience $145K/year #talkpay,"$145,000.00"
eevee,"#talkpay i work for yelp (sf, remote) as, like, imagine indiana jones but for legacy code been here 3 years, 3ish exp before this $145k","$145,000.00"
ltgdeht,#talkpay Security Engineer in DC #POC No degree 2002: $55k 2005: 85k 2010: $115k 2015: $143k,"$143,000.00"
issackelly,"DM: #talkpay cis white male - architect at startup made $143k/year + 50k stock options in 2011, freelance dev made ~275-325k/year since","$143,000.00"
chris_swenson,"$142k at Google (DC, 2011) (with 15% bonus, stock). $133k at Simple (Portland, 2012) (with stock). #talkpay","$142,000.00"
cheeseplus,2014 - present: anywhere between $90k and $140k due to secondary income #talkpay,"$140,000.00"
issackelly,DM: WM #talkpay relay 2010: $75K Web dev DC 2011: $100K Webdev DC 2012: $115K Sr SW Engineer NY 2013: $125K Sr SWE NY 2014-: $140K Sr SWE NY,"$140,000.00"
mmrobins,"Current title something like devops lead, 10 years experience + CS degree: base salary $140k in Portland #talkpay","$140,000.00"
codefolio,SiliValley SW Dev: 1998: $54k 2000: $60k 2004: $70k-ish 2005: $80k-ish 2006: $92k 2007: $130k 2009: $140k-ish (switch to Ruby) #talkpay,"$140,000.00"
othiym23,"#talkpay DM ""2007-2009: $40k 2009-2011: $50k 2011-2013: $65-70k 2013-2014: $85-95k 2015: $140k (30yo white looks-like-cis-woman, 8yr exp)""","$140,000.00"
othiym23,"#talkpay DM ""2006-2008: $32-39k 2008-2009: $60-70k 2009-2014: $70-88k 2014-2015: $140k""","$140,000.00"
livlab,"#talkpay '98-'04 net 0 consulting (no bnft); '05 @$70k bns, bnft. 10y gradual increased (ask + perform) to'14 @$140k. Now $60k grant + bnfts","$140,000.00"
reiddraper,"~ $140k USD polyglot functional programmer at a startup. Chicago, remote. #talkpay","$140,000.00"
radiomorillo,WOC Information Security Professional 17+ years of experience $140K #talkpay #POC,"$140,000.00"
evangoldin,"Transparency supports fairness, so let's #talkpay. CS rep: $55k-&gt;$65k. First PM job: $80k-&gt;$100k-&gt;$120k. Now: $130k, $140k with bonuses.","$140,000.00"
derickbailey,#talkpay 1st full-time job: $38K-$45K/yr. 2nd: $60K-$92K/yr. misc other: $95K-$120K/yr. self-employed/consultant: $104K-$140K/yr.,"$140,000.00"
cczona,"At event for professional community mgrs, anon salary survey of ~30 found range of $0-$140k. #talkpay b/c so many ways inequity is waved off","$140,000.00"
jinkwell,Community Coordinator: $23K; Community Mgr.: $50K; Sr. Strategist: $80K; Digital Mgr.: $100K; Global Digital: $140K #talkpay,"$140,000.00"
othiym23,"#talkpay DM ""$140k + 2%, CTO at startup. Was $140 + much less stock at a big co before that. 10 years exp, cishet wm in SF.""","$140,000.00"
sellout,"#talkpay Dropped out of BS CS 15yr ago. Took temp pay cut 1 yr ago $120k↓$85k (+2.5% eq) to join startup in Boulder, CO. Expect ↑$140k soon.","$140,000.00"
maybekatz,"#talkpay Software Dev, No Degree: 2009 - $35k - MN (QA) 2011 - $75k - FL 2012 - $55k - FL 2013 - $125k - SF CA Recent offer @ $138k in SF","$138,000.00"
juliansimioni,"my contribution to #talkpay: the highest job offer I've ever turned down in the USA: $130k/yr + ~$7.5k/yr stock, early 2012, San Francisco","$137,500.00"
GabrielG439,"#talkpay PhD in biochemistry: $29,000 / year Software Engineer at Twitter: $135,000 / year + (12,500 RSUs over 4 years)","$135,000.00"
temvald,"BOS area, Senior Software Engineer (Java), media/tech company, $135k, cis-wm. #talkpay","$135,000.00"
cba,"Doing #talkpay, nervously, bc wage discussions empower peers white male software eng, SF, 3 years at 1st job $135k","$135,000.00"
t_sloughter,"PhD student: $18k (Gave up, not a Dr) ""Junior"" engineer: 2010: $65k, 2010: $75k, 2012: $90k, 2012: $115k. Senior eng: 2015: $135k #talkpay","$135,000.00"
tdfischer_,#talkpay $135k as a senior software engineer in the bay area.,"$135,000.00"
msol,"white, male, state university B.S. SF startup SWE: 2013 @ $85k, 2014 @ $100k SF company SWE: 2015 @ $134k #talkpay","$134,000.00"
othiym23,"#talkpay DM ""Staff Software Engineer, 13 years experience, M.S. CompSci, $134k, working remote for a Bay Area company""","$134,000.00"
patr1ck,"My bay area salary ranged from $80k-$132k/year. (Graduate, software dev, iOS and web, Apple, startups, and agency work.) #talkpay","$132,000.00"
doofsmack,"#talkpay $130k + options, white male software engineer, Seattle, 5yrs industry experience.","$130,000.00"
skinny,01: web designer $24k 04: web d $28k 06: graphic d – $40k 08: web d – $72k 09: UX – $85k 11: UX – $100k 14: UX – $130k 15: CEO $0 #talkpay,"$130,000.00"
dyfrgi,"Software Engineer III, $130k/yr + 3-10% bonus, 4yrs out from leaving PhD program ABD (have BS in computer engineering). #talkpay","$130,000.00"
asarazan,#TalkPay Straight White Male 2007-2010: $55k (NC) 2011-2012: $90k (CA) 2013: $105k 2014: $130k,"$130,000.00"
ckhonson,"I love the philosophy behind #talkpay, but I dunno if Twitter is good medium for it. I'm sure most my followers make more than me ($130k).","$130,000.00"
kylehardgrave,"I'm a new grad software engineer in SF, I make $130k + options, after negotiations + later raise. $100k starting offer. #talkpay","$130,000.00"
radiomorillo,"India-born male, Bay Area: Engineer 2006: $68K, 2013: $95K, 2015: $130K #talkpay #POC","$130,000.00"
apretz,#talkpay: When I left mobile dev remote @ Yelp in 2012 I was $130k + vesting slowly. Fought for both. iOS @ VC startup in Austin 2013: $110k,"$130,000.00"
mmmpork,My Software Engineer salary in NYC and Seattle average $90-$130k. Seattle pays the same as NYC despite NYC's higher cost of living. #talkpay,"$130,000.00"
anshublog,"Engineer @ Oracle, out of grad school. $70K '99 Principal Engr, $110K '03 &lt;-- counter offer to stay after a job offer PM $130K '06 #talkpay","$130,000.00"
gpennington,#talkpay reaffirms why I’m not interested in Bay Area startups. Pass on living hand to mouth on $130k.,"$130,000.00"
jina,"#talkpay designer at a social code company (yes, that one): $130k + benefits + stock","$130,000.00"
bsodmike,"Following #talkpay with amazement. Be humble, work hard; if you're in the US making $130k+ isn't hard at #startups.","$130,000.00"
jedgar,#talkpay strategy at a startup. $130k + eq + year end (5k),"$130,000.00"
othiym23,"#talkpay DM ""$130k + eq. Data science, 3yrs + Masters CS, in northeast. CWM""","$130,000.00"
pcorliss,Seeing some #talkpay posts. And one about scrapping by on $130k/yr. Financial literacy is important. Everyone should budget their money.,"$130,000.00"
protectedstatic,"#talkpay Non-comp sci software developer w/ 20 yrs experience, working for ambitious consulting startup: $129K in my 1st year (2014).","$129,000.00"
Catfish_Man,"#talkpay: My internship paid around $55k in Portland, led to a $65k job there. Current SF job pays $127k + $15k RSUs + ESPP after 6 years.","$127,000.00"
othiym23,"#talkpay DM ""I'm a white male early 40s SEV III working at EA right here in Seattle @ $126k."" (1/3)","$126,000.00"
radiomorillo,"Lead Designer (WOC) $126,000/year, 10% retirement contribution–5 years experience. #talkpay #POC","$126,000.00"
autumnspirit,"#talkpay Salaried software engineer in Melb, AU (11y exp). $125k/y AUD.","$125,000.00"
HayleyCAnderson,"#talkpay is just making me really confused. Some people start in tech at $25k, others at $125k. Takeaway: salaries are complex &amp; very unfair","$125,000.00"
noUpside,"Trading base salary started at $55k capped at $125k, bonus was multiple of that. Tech (junior vc/startup) is around same base. #talkpay","$125,000.00"
samsm,"$125K, Atlanta #talkpay I'll delete this in a day or so, but I am happy to privately talk about whatever I know","$125,000.00"
EylerWerve,"In 2001, first job out of school at a nonprofit journalism shop: $25k / yr. Shifted to technical role, 2003, $40k. In 2014, ~$125k. #talkpay","$125,000.00"
othiym23,"#talkpay DM ""MIS 1yr ago, UT: 1. $65K some opts 2. $100k no opts 3. $125k 1% of co. I feel like I'm paid fairly, making 2x most classmates""","$125,000.00"
h0mee,here goes... I get around $125k for my software dev position at a small-med size company #talkpay 15+ yxp is someone collating these?,"$125,000.00"
jiffyclub,#talkpay In Maryland 2008-2013 I made $55k-70k at NASA contractors. First SF startup job I made $85-90k. Current Bay Area job $125k-135k.,"$125,000.00"
pete_higgins,#talkpay Last salary was $115k; supposed to be raised to $125k but due to lack of communication I'm not sure if that happened.,"$125,000.00"
mperham,I hope to see some Portland #talkpay today. I made $125k as The Clymb’s director of engineering.,"$125,000.00"
cerebralideas,"MTS1 software engineer at PayPal, Austin TX, 5yrs in app engineering, 8 in web dev, 13 in design, no CS degree, ~$125K base pay. #talkpay","$125,000.00"
abackstrom,"2012 $80k (Junior Software Eng, NYC) 2013 $100k (Software Eng) 2014 $115k (SE, remote) 2015 $123k (same) Trans WW, out since '14 #talkpay","$123,000.00"
lsblakk,"After 6 years full time, my base pay was $123K/yr (started at $60K). Most $ anyone in my family has ever made. #talkpay","$123,000.00"
trek,"My #talkpay is complicated by self-employment, but: 2000: * 2003: $31k 2007: €60k 2009: * 2012: $105k 2015: $123k * self employed","$123,000.00"
karmajunkie,"one (of many) lesson on #talkpay: if you make less than $120k as a productive technologist, you are not being paid market (1/2)","$120,000.00"
joemcmahon,"#talkpay 25 years @ NASA $12K (1979) -&gt; 90K (2004), no equity. Bay Area 2005, $120K plus stock options; job hops == continued increases.","$120,000.00"
mileswjohnson,I'll jump on this #talkpay because why not. 2014 - $115k. 2013 - $105k. 2012 - $120k. 2011 - $90k. Anything before that was around $60k.,"$120,000.00"
_incogtweeto_,"Web developer, 10+ years, CS degree, Boston #talkpay 2011 $100k corp 2012 $100k VC startup 2013 $120k angel startup 2014 $50k F&amp;F startup","$120,000.00"
othiym23,"#talkpay DM ""Male 10yrs Software Engineer: $47k (2005) NC $80k (2010) CA $100k (2012) NC $80k (2013) NC $100k (2013) NC $120k (2015) NC""","$120,000.00"
othiym23,"#talkpay DM ""White cis/het, BA, UX design, Seattle: 2001: $45k 2006: $60k 2011: $78k 2013: $99k 2015: $120k All w/benefits, opts since '11""","$120,000.00"
_incogtweeto_,"#talkpay white male program manager for msft (redmond/seattle). $80k straight from college, now at $120k","$120,000.00"
quince,Last job offers: $120k + large bonus/perf oppty (management consulting) and iirc $95k + nominal bonus oppty (enterprise sw mktg) #talkpay,"$120,000.00"
z_t,"Canadian software dev, 15+ years in tech but not all in dev. I wouldn't consider job offers for less than $120k CDN #talkpay","$120,000.00"
clundoff,"Software QA (Twin Cities) - started as junior in 2000 at $35k. Multiple company changes, now a principle lead at about $120k. #talkpay","$120,000.00"
mikey_p,2009-2013 Various consulting gigs running Shomeya with @sarah__p anywhere from $40k - $120k #talkpay,"$120,000.00"
supersecretsean,#talkpay #iOS $120k annual salary runs team of 20 6 years relevant experience masters degree white man,"$120,000.00"
othiym23,"#talkpay DM ""$120k. 5 years of experience. Being held down by Visas (L1). SF. Adobe""","$120,000.00"
othiym23,"#talkpay DM ""straight white cis male in industry since late 90's, front-end engineer, full-time remote $120k/no stock""","$120,000.00"
radiomorillo,"Hispanic male, developer $120K+ in a Seattle startup. #talkpay #POC","$120,000.00"
marick,"#talkpay Remote-ish “sr. engineer” at Angel-funded Chicago startup. Clojure/Rails. $120K. options: 22500@$4.43 (1.6% of company, I think).","$120,000.00"
gwestr,"With 5 years experience I started $120k in 2010 as a senior quality engineer, plus equity in a public company and relocation bonus #talkpay","$120,000.00"
calebthompson,08: $65k '10: $85k '12: $115k + $10k stock + ~$5k yearly bonus '15: $120k + $75k stock white/male/ruby dev/texas #talkpay,"$120,000.00"
jina,#talkpay Product Designer at Do (Salesforce): $120k + benefits + stock + free meals,"$120,000.00"
shovemedia,#talkpay My high water mark was around $120k as an ActionScript developer both freelance &amp; full time employee 2007–2012. Not quite back.,"$120,000.00"
catnapkin,"#talkpay softeng 2009 $68k base, $0 stock annually [LA] 2011 $80k, ~$10k [SEA] 2012 $95k, $4k [SEA] 2013: $120k, $60k [NYC]","$120,000.00"
vogon,"#talkpay $63,600 as a (non-faculty) developer at a public university, with five years private-sector experience (at $80 -&gt; $120k in 2013)","$120,000.00"
whoisaldeka,"Unicorn (lead web/frontend/UX/graphic design) at a Palo Alto startup, 6ish yrs in tech. Just got a raise w/o asking (wat). $120k. #talkpay","$120,000.00"
faizaan,"6/07 $57.5K, 12/12 63912K, 1/13 new job $74K, 9/13 new job 97K, 10/14 New Job 120K. #talkpay. Low cost of living &amp; no state tax in new job","$120,000.00"
juliepagano,"Google salaries (all in Pittsburgh): 2013: $95k/year 2014: $98,300/year 2015: $117,800/year bonuses ~15% of salary also got RSUs #talkpay","$117,800.00"
saburwulf,#talkpay $116k base + bonus + stock options. ~4 years experience in the software industry. White male. Seattle.,"$116,000.00"
othiym23,"#talkpay DM ""cis het wm, BS in NC 04-09 - $33-50k (gov) 10-11 - $70k (Spanish startup) 12-13 - $90-100k (corp) 14-now - $115k (SF startup)""","$115,000.00"
clarkkaren,"Project manager in the game industry 2005 - 2012. Eight different companies, worked in CA, OR, CAN. Range $75K - $115K (gross) #talkpay","$115,000.00"
MrJaeger00,Does feel weird to post this but $100k (new-grad) -&gt; $115k (year later) #talkpay,"$115,000.00"
OfferLetterIO,"Anon #talkpay: Front end dev, female, 5+ yrs experience. 2012 $40k politics 2013 $115k + $25k bonuses SF startup 2014 $90k non-profit","$115,000.00"
owiber,"Not my current, but had various dev roles in Austin w/salary range ~$55k-$115k over ~8yrs (starting directly out of UT w/CS degree) #talkpay","$115,000.00"
yournameistoby,"Should we #talkpay? Yes, we should! $115K, Boston, Site Reliability Engineer. Start at $40K nearly five years ago at the very same place.","$115,000.00"
othiym23,"#talkpay DM ""cishet wm, Vancouver, Canada. System generalist. 1st job, $74k next: $98k, now $115k + bonuses (~$10k/yr)""","$115,000.00"
Strabd,Today I'm a software engineer making $115K. In 2014 I was a technical teacher making $105K. (1/4) #talkpay,"$115,000.00"
cba,"#talkpay sent to me ""woman software engineer, SF startup, 1st job. Started @ $83k in 2013. currently @ $114k.""","$114,000.00"
IndiLatrani,"White nonbinary trans poly pagan, BS Comp Sci, Web Developer, 10 yrs experience. ~140K/yr ($113K salary, plus stock) #talkpay","$113,000.00"
vahnj,#talkpay been working as a data warehouse engineer for the last 3 years. went from $85k starting to $112k today after two raises,"$112,000.00"
DevCred,"Cis MOC in Chicago: Developer w/ 8 years exp total, 4 in web development $111k before taxes + benefits. #talkpay #POC","$111,000.00"
radiomorillo,"Cis MOC in Chicago: Developer w/ 8 years exp total, 4 in web development $111k before taxes + benefits. #talkpay #POC","$111,000.00"
21t_cog,"Let’s #talkpay. Non-technical Prog Mgr in Boston with direct reports &amp; 10yrs multi industry exp, $111k + stock grants and ok bennies.","$111,000.00"
cba,"#talkpay sent to me: ""white, straight, cis female software engineer w/ 2 yrs experience @ startup in SF. currently $110k, started at $82k""","$110,000.00"
CoryJohannsen,"#talkpay 1998, first job after completing CS degree $45k. 2002, Sr level, $90k. Both in Chi. 2011, PDX, $97k. 2013, $110k.","$110,000.00"
ktzhu,"2013 software engineering new grad, SF: $110k/yr … #talkpay","$110,000.00"
zenhob,#talkpay As a senior web dev in LA I made $110k when I left in ~2007. In PDX I am just now back up to $110k this year!,"$110,000.00"
swilliams,"Next dev job: $47,500. Then $65k as a consultant up to $110k a few years ago. #talkpay","$110,000.00"
MaxMartin,"In Portland, BS in CS and MS in AI hired as junior dev at startup at $60k negotiated up to $85k over 2 yrs became mgr, $110k #talkpay","$110,000.00"
jsatk,It’s at this point I learned about “cost of living” calculators. $110K in SF is *a lot* less than $85K in Detroit. #talkpay,"$110,000.00"
jsatk,My best friend convinced me to try out SF. I visited. Loved it. Applied everywhere. Got a gig making $110K. #talkpay,"$110,000.00"
